gene_id,5nn_pears
2,0.5569313464102222
3,0.6046863217859088
6,0.6558268579881504
7,0.15420440945272904
10,0.1846537723696963
12,0.7640937300395744
14,0.4735809503325228
16,0.5412003422373735
17,0.3632268948771876
21,0.35361659718993127
26,0.5880700419521127
61,0.675955225085429
62,0.6331243019952609
64,0.6461650400994655
65,0.7316356059223432
66,0.4052247476291114
67,0.5886964909927506
68,0.6685994702633933
69,0.7314883611744558
70,0.5908364726474626
71,0.44642612285474226
72,0.7864781419841372
73,0.5717623456206956
74,0.5853653180125965
75,0.7950237645117788
76,0.6067566967142072
79,0.4694376079436729
80,0.4102711934066363
81,0.4509790635900214
82,0.49277496269102744
83,0.4002360091734414
84,0.3388321727847077
85,0.2197415604497946
92,0.4879549981764626
95,0.7035038320157041
96,0.7093958674274596
97,0.6534105945280465
99,0.7597423845260937
100,0.6658550990341241
104,0.8207098251259058
105,0.5629549806223516
107,0.7753049423512692
108,0.7978764477347711
109,0.6654412192175059
110,0.7029258675579065
111,0.4633465058020376
112,0.4711570734242356
113,0.5125210035910431
114,0.5085276257206628
115,0.5154619166744328
116,0.285883100688477
117,0.43585311259135734
118,0.7399129615133584
119,0.33641415856695367
120,0.751566351978376
121,-0.030924009650437168
122,-0.06664963166668171
123,0.27118465603282854
124,0.04602143358306708
125,0.1872119497116843
127,0.7097557547850029
128,0.6714128833243398
130,0.653108229951847
132,0.06386523613496072
133,0.7063680384222474
135,0.3537726662578107
150,0.43430669523542903
161,0.45929219701480023
163,0.7236056692781282
164,0.681482213716493
165,0.5981624328757278
194,0.34041876096570334
195,0.8340068701448778
197,0.6251196921208848
205,0.25541465875476604
206,0.6759241909002665
207,0.37912378060559315
