gene_id,5nn_funsum_pears
2,0.6179833610430842
3,0.6544005346794498
6,0.7385913025116116
7,0.37403493962099965
10,0.28420698481295764
12,0.8486595640211997
14,0.5246962690618383
16,0.5604132585001513
17,0.43779708065589606
21,0.4434545045959631
26,0.6789976845793029
61,0.7030298297603526
62,0.877466626786045
64,0.8329136824918338
65,0.8338976375070566
66,0.6185125245300768
67,0.6914551072027504
68,0.8331963528051869
69,0.8556856137104243
70,0.6761402992880804
71,0.6071809245585325
72,0.8762699625412939
73,0.6758282695730841
74,0.6908741063024246
75,0.8753536875365353
76,0.690547092458289
79,0.8399643220376526
80,0.6365047602117305
81,0.5752413514703268
82,0.641680762776328
83,0.5579830861661613
84,0.45593510149240335
85,0.4281299673315415
92,0.533142099288438
95,0.897595069423698
96,0.8110489734756844
97,0.7823672909563107
99,0.8903644648059086
100,0.7513032289834718
104,0.8262166907462084
105,0.6798743375512651
107,0.7559208408341636
108,0.8941441347573463
109,0.7387541171811861
110,0.7422224191350064
111,0.6087291870004083
112,0.6144565391538488
113,0.7353419788680257
114,0.7355506855030515
115,0.5188335575714658
116,0.3347947618193195
117,0.34225712036858363
118,0.7745923284908889
119,0.5060856632631068
120,0.7233431885713982
121,-0.030924009650437168
122,-0.06664963166668171
123,0.3966715385427379
124,0.3119268447772189
125,0.28909988622888705
127,0.7527033159577701
128,0.7241776160892697
130,0.7698562189323394
132,0.1607116930832919
133,0.8032669852727191
135,0.3540905851940735
150,0.4772365412320873
161,0.5011155236559321
163,0.7543091260659012
164,0.7583871882949018
165,0.6170121141754362
194,0.7822498864152758
195,0.833255780193781
197,0.6640566377550418
205,0.9500048037454834
206,0.9695394543820189
207,0.8827929272751539
